iter	Passed	Remaining
0	2	267
1	12	600
2	14	453
3	15	368
4	16	313
5	17	274
6	24	330
7	27	313
8	29	301
9	30	276
10	31	257
11	32	241
12	34	229
13	36	223
14	37	213
15	38	203
16	39	194
17	40	185
18	41	178
19	42	170
20	43	164
21	51	182
22	52	177
23	54	171
24	55	165
25	56	160
26	57	155
27	58	150
28	66	162
29	68	159
30	71	159
31	72	154
32	73	150
33	81	158
34	83	155
35	84	150
36	85	146
37	86	141
38	87	137
39	88	133
40	90	129
41	98	135
42	99	131
43	100	127
44	101	124
45	102	120
46	103	117
47	105	114
48	112	116
49	113	113
50	114	110
51	116	107
52	117	103
53	118	100
54	119	97
55	127	100
56	129	97
57	130	94
58	132	91
59	134	89
60	144	92
61	145	89
62	147	86
63	149	83
64	150	80
65	151	77
66	160	78
67	161	76
68	162	73
69	164	70
70	165	67
71	166	64
72	167	61
73	171	60
74	172	57
75	173	54
76	175	52
77	176	49
78	176	47
79	178	44
80	179	41
81	180	39
82	181	37
83	183	34
84	184	32
85	185	30
86	186	27
87	188	25
88	196	24
89	197	21
90	199	19
91	200	17
92	201	15
93	202	12
94	204	10
95	212	8
96	214	6
97	215	4
98	216	2
99	217	0
